County,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Atlantic",13560367,13976107,14183332,14292088,14747473,15706460,15622084,15611761,13812643,13442438,13885512,13670643,13529168,13152309,12705660,12471409,12424734,12863458
"Bergen",60540858,61354956,62660670,63662391,64233775,64154133,64702164,65307979,63498118,64608118,64300795,64632393,64250726,64882829,64989040,64865064,64494856,66148892
"Burlington",19984679,20793952,21861114,22321313,22875631,23521373,23626356,23985907,23226761,23446563,23519571,23843473,23802493,23602350,24340302,24365768,24747071,25242828
"Camden",20217264,20825359,21827951,22266476,22732246,23263191,23383249,23686431,22495127,22414837,22085159,22365179,22542496,22195541,22558680,22921961,23199521,23773431
"Cape May",4393441,4594944,4825061,5020630,5174339,5239723,5168980,4994763,4815534,4876428,4850182,4839395,4816347,4843688,4803794,4800458,4757727,4852632
"Cumberland",5375211,5465767,5772190,5985292,6101340,6206974,6095673,6171788,6023307,5954839,5854480,5900991,5910921,5884451,6012536,6126043,5954454,6051881
"Essex",47623554,48724146,49455365,53124196,51413716,52058122,51312389,52240854,50506331,51354500,50931114,50609681,50328425,49671461,50829629,51344851,51601199,52311173
"Gloucester",10690581,10960119,12012559,12137649,11895871,12014263,12883049,14103012,11871555,11842577,11135554,11086343,11208463,11989125,14304875,13985808,14162898,14353051
"Hudson",31788613,33717540,33523453,34348168,36903918,38400976,37516261,36932361,38138621,38675424,37821090,39249245,40179939,40167638,41946981,42034951,43796480,44690400
"Hunterdon",6500705,6811822,6938627,7127814,6858667,7122304,7003009,7113885,6918871,6786478,6522413,6665842,6539894,6682330,6603611,6541100,6838373,6811313
"Mercer",24531517,25329167,25813127,26093323,26436766,26763555,26432604,27359900,26339529,26606523,26732591,28346897,27997660,27654959,27806922,28160390,27815178,28459499
"Middlesex",48655146,49049728,49590316,50676031,50975626,51886191,53492560,54506408,51598235,52090171,51504407,53300947,53298394,53884765,55223378,56463802,56688188,58319626
"Monmouth",28330801,30259385,31206564,30994365,31438369,31419761,31764296,31844659,30380881,30150773,29538521,29755547,29950334,30214363,30500735,30842363,31018115,31954708
"Morris",42842011,43019142,44582610,45743835,46699624,47201164,48019138,48186062,46785811,48783494,47727604,48952201,49452376,49013799,50235247,51655588,51699014,52564871
"Ocean",14725467,15516545,16191446,16513521,16659140,17169297,17215738,17047421,16686685,16978973,17206441,17444754,18016868,18115461,18428288,18517079,18535721,18862944
"Passaic",19392192,19713418,20472360,20786078,21354110,22159208,22382465,23278047,21787455,22207485,21812169,21872034,21633508,22037117,21494475,21318572,20861160,21166615
"Salem",4773024,4781615,5213799,5755819,5651240,5609275,5483981,6185221,5935880,5778780,5688283,5629822,5711864,5403944,5093409,4675502,4905133,5000437
"Somerset",24707237,24956972,27041885,26887800,28168765,30565398,32359541,31470840,29284594,28503832,27757048,28088357,29851909,31300188,33079642,34599973,36051564,37343694
"Sussex",3931240,4071608,4188025,4290585,4357775,4517305,4372558,4418367,4280442,4327339,4285166,4291312,4340610,4378757,4373376,4404366,4371424,4478411
"Union",40213379,39103752,38113271,35298054,34496740,34519016,33429072,33940647,32105797,33050646,33255976,34795237,35582969,36380749,35781217,35677223,35531624,36426964
"Warren",4079632,4301547,4501416,4412293,4378894,4609975,4640300,4757847,4638380,4723373,4515418,4405544,4390330,4315021,4275997,4268309,4165110,4183193
