Gounty,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
New Jersey,35642,34054,34970,36329,37611,38230,39720,41119,42032,43720,45724
"Atlantic, NJ",25646,23939,23949,24986,25742,26248,26503,26479,26838,27788,28923
"Bergen, NJ",44866,43514,45296,47252,48654,48971,50715,52231,53086,54754,57242
"Burlington, NJ",34015,33315,33683,34590,35154,35571,36599,38475,39386,40610,42265
"Camden, NJ",27788,26932,27026,28256,28813,29219,29934,31192,31982,33226,34596
"Cape May, NJ",23387,22466,23001,23762,25028,25510,26298,27368,28780,30044,31267
"Cumberland, NJ",19608,19435,19636,19914,19818,19968,20425,21107,21250,21962,22891
"Essex, NJ",33336,32164,33333,33889,34458,35249,36574,38022,38494,39718,41553
"Gloucester, NJ",30102,29503,29599,30677,31536,32304,33114,34727,35417,36620,38080
"Hudson, NJ",32546,30175,31721,32391,34014,35094,38068,41199,42701,46438,48439
"Hunterdon, NJ",54055,51997,52948,53273,54817,55556,57533,58492,59903,60394,63137
"Mercer, NJ",38180,35284,35727,37691,39509,38926,41113,41385,41647,42738,44719
"Middlesex, NJ",34242,32557,33837,36834,38665,37840,38558,38781,39640,40782,42615
"Monmouth, NJ",41975,39334,39703,41590,43008,44177,46245,48135,49258,51308,53693
"Morris, NJ",53416,51641,54755,56548,58801,59882,61388,63102,64450,66739,69893
"Ocean, NJ",23741,22703,22878,23857,24804,25401,26130,27258,28216,29160,30477
"Passaic, NJ",26570,25656,26286,26995,27703,28281,29955,30523,30696,31013,32435
"Salem, NJ",25813,25266,25544,26238,26023,26196,26306,27271,27335,27867,28984
"Somerset, NJ",52473,50156,50551,51458,54253,57660,60833,64331,67517,73580,78156
"Sussex, NJ",35317,33629,34164,35090,36352,36921,38387,39306,40039,41260,43150
"Union, NJ",36540,34053,34879,36250,37975,39031,40904,42255,43028,44851,46905
"Warren, NJ",31038,29924,30314,31221,32214,32698,33387,34393,34729,35795,37437
