Country,ISO,Sex,Year of birth,Meanheight,Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
China,CHN,Men,1896,160.9729313,159.1951595,162.7386606
China,CHN,Men,1897,161.1257916,159.4570841,162.7792177
China,CHN,Men,1898,161.2790657,159.7259449,162.8199982
China,CHN,Men,1899,161.4325731,159.9914831,162.8547368
China,CHN,Men,1900,161.5858939,160.2448649,162.9145795
China,CHN,Men,1901,161.739109,160.4976466,162.9792487
China,CHN,Men,1902,161.8918251,160.7321163,163.0537324
China,CHN,Men,1903,162.0427718,160.9600046,163.1289154
China,CHN,Men,1904,162.1921021,161.1815411,163.2017645
China,CHN,Men,1905,162.3402342,161.3876845,163.2785638
China,CHN,Men,1906,162.4862149,161.5939559,163.3705417
China,CHN,Men,1907,162.629987,161.7824262,163.4805581
China,CHN,Men,1908,162.7714165,161.957592,163.5735307
China,CHN,Men,1909,162.9107493,162.1395225,163.6755806
China,CHN,Men,1910,163.0494487,162.3060779,163.7828249
China,CHN,Men,1911,163.187869,162.460298,163.8930756
China,CHN,Men,1912,163.3267213,162.6200353,164.0183066
China,CHN,Men,1913,163.4650376,162.7829927,164.1400018
China,CHN,Men,1914,163.6025747,162.9368454,164.2519862
China,CHN,Men,1915,163.7386374,163.088843,164.37528
China,CHN,Men,1916,163.8727274,163.2360299,164.4874161
China,CHN,Men,1917,164.0044364,163.3872085,164.597562
China,CHN,Men,1918,164.1339519,163.5343722,164.7113618
China,CHN,Men,1919,164.2596907,163.6712029,164.8291762
China,CHN,Men,1920,164.3811269,163.8046742,164.9464161
China,CHN,Men,1921,164.4980751,163.9358337,165.0542522
China,CHN,Men,1922,164.6108894,164.0627027,165.1548478
China,CHN,Men,1923,164.7192637,164.1798154,165.2529205
China,CHN,Men,1924,164.8240596,164.297979,165.3463966
China,CHN,Men,1925,164.9280949,164.4120965,165.4408098
China,CHN,Men,1926,165.0330312,164.5296991,165.5307479
China,CHN,Men,1927,165.1386547,164.6495451,165.6314198
China,CHN,Men,1928,165.2449253,164.7584806,165.7291076
China,CHN,Men,1929,165.3507387,164.8673331,165.8314834
China,CHN,Men,1930,165.45456,164.9777978,165.9364145
China,CHN,Men,1931,165.5561967,165.0879102,166.0349843
China,CHN,Men,1932,165.6552528,165.1939301,166.1390642
China,CHN,Men,1933,165.7527551,165.2873039,166.2247832
China,CHN,Men,1934,165.8486313,165.3856724,166.3111429
China,CHN,Men,1935,165.9451282,165.4939761,166.4010029
China,CHN,Men,1936,166.040662,165.5914322,166.4935325
China,CHN,Men,1937,166.1346114,165.6894651,166.5833552
China,CHN,Men,1938,166.2252837,165.7874172,166.6693701
China,CHN,Men,1939,166.3115577,165.8770029,166.7533278
China,CHN,Men,1940,166.3950479,165.9617672,166.8287809
China,CHN,Men,1941,166.4768573,166.0485194,166.9067569
