Discipline	Method	Result	Result_with_noise
A	A	22	22.04416841
A	B	10	10.02157246
A	C	10	9.956093715
B	A	21	21.03480913
B	B	11	11.02888051
B	C	10	10.01787953
C	A	16	15.97686327
C	B	10	10.02340154
C	C	7	7.024088694
A	A	22	22.01553019
A	B	10	10.02732564
A	C	10	9.969931737
B	A	21	21.03240134
B	B	11	11.02914484
B	C	10	10.01852897
C	A	16	15.97581785
C	B	10	10.00398572
C	C	7	7.044812247
A	A	22	22.00133338
A	B	10	10.04554169
A	C	10	9.964840277
B	A	21	20.9692505
B	B	11	11.02917373
B	C	10	10.03103316
C	A	16	15.96461028
C	B	10	9.987445031
C	C	7	6.952889901
A	A	22	21.95050601
A	B	10	10.00916992
A	C	10	10.01008757
B	A	21	20.98239513
B	B	11	11.00135723
B	C	10	10.04375687
C	A	16	16.00979311
C	B	10	10.03462346
C	C	7	6.996586225
A	A	22	22.03460752
A	B	10	9.981633999
A	C	10	9.97731486
B	A	21	20.95005846
B	B	11	10.98307491
B	C	10	9.999199226
C	A	16	16.01307059
C	B	10	10.03983966
C	C	7	6.997639494
A	A	22	21.95388647
A	B	10	9.994905597
A	C	10	9.993308789
B	A	21	20.96167042
B	B	11	11.03018306
B	C	10	10.02527435
C	A	16	16.00344517
C	B	10	9.997096101
C	C	7	7.001595732
A	A	22	22.00852616
A	B	10	10.01067358
A	C	10	9.986824897
B	A	21	20.9805464
B	B	11	10.9590577
B	C	10	9.994660232
C	A	16	15.9882893
C	B	10	9.977891967
C	C	7	7.00434842
A	A	22	22.00180782
A	B	10	10.01692451
A	C	10	9.982141692
B	A	21	20.98174372
B	B	11	10.97232799
B	C	10	9.998933037
C	A	16	16.0153859
C	B	10	10.04388197
C	C	7	6.985396086
A	A	22	22.04616642
A	B	10	10.03426609
A	C	10	10.01905209
B	A	21	21.04165498
B	B	11	11.02708952
B	C	10	10.03139592
C	A	16	16.01997899
C	B	10	9.950211334
C	C	7	7.046122961
A	A	22	22.0344942
A	B	10	10.03212552
A	C	10	10.0494274
B	A	21	20.9695507
B	B	11	11.02717883
B	C	10	10.03802816
C	A	16	16.01790647
C	B	10	9.991684198
C	C	7	6.959001796
