Subject,Before,After
1,0.32,0.39
2,0.39,0.44
3,0.36,0.49
4,0.41,0.53
5,0.37,0.46
6,0.42,0.52
7,0.41,0.52
8,0.43,0.46
9,0.39,0.55
10,0.41,0.52
11,0.35,0.45
12,0.42,0.41
13,0.32,0.54
14,0.39,0.46
15,0.41,0.53
16,0.33,0.54
17,0.43,0.46
18,0.42,0.43
19,0.41,0.52
20,0.35,0.52
21,0.39,0.41
22,0.39,0.44
23,0.32,0.50
24,0.33,0.53
25,0.31,0.45
26,0.35,0.45
27,0.31,0.45
28,0.32,0.48
29,0.38,0.54
30,0.37,0.46
31,0.39,0.49
32,0.30,0.51
33,0.40,0.49
34,0.41,0.50
35,0.41,0.53
36,0.35,0.47
37,0.37,0.51
38,0.41,0.46
